tipo_muerte,provincia,canton,fecha,lat,lon,arma,edad,sexo,etnia,motivacion,area_hecho
ASESINATO,ESMERALDAS,ESMERALDAS,2024-12-31,0.98068,-79.65848,ARMA DE FUEGO,42,MUJER,AFRO,DELINCUENCIA COMÚN,URBANO
ASESINATO,MANABI,PORTOVIEJO,2024-12-31,-1.05091,-80.44389,ARMA DE FUEGO,52,HOMBRE,MESTIZO/A,DELINCUENCIA COMÚN,URBANO
ASESINATO,MANABI,PORTOVIEJO,2024-12-31,-1.05091,-80.44389,ARMA DE FUEGO,46,HOMBRE,MESTIZO/A,DELINCUENCIA COMÚN,URBANO
ASESINATO,MANABI,MONTECRISTI,2024-12-31,-1.10807,-80.58358,ARMA DE FUEGO,15,MUJER,MESTIZO/A,DELINCUENCIA COMÚN,RURAL
ASESINATO,MANABI,MONTECRISTI,2024-12-31,-1.10807,-80.58358,ARMA DE FUEGO,41,MUJER,MESTIZO/A,DELINCUENCIA COMÚN,RURAL
ASESINATO,MANABI,MANTA,2024-12-31,-0.98435,-80.7246,ARMA DE FUEGO,30,HOMBRE,MESTIZO/A,DELINCUENCIA COMÚN,URBANO
ASESINATO,LOS RIOS,VENTANAS,2024-12-31,-1.44819,-79.46277,ARMA DE FUEGO,34,HOMBRE,MESTIZO/A,DELINCUENCIA COMÚN,URBANO
ASESINATO,SANTA ELENA,SALINAS,2024-12-31,-2.23493,-80.93223,ARMA DE FUEGO,40,HOMBRE,MESTIZO/A,DELINCUENCIA COMÚN,URBANO
ASESINATO,CANAR,LA TRONCAL,2024-12-31,-2.46961,-79.44994,CONSTRICTORA,24,HOMBRE,MESTIZO/A,DELINCUENCIA COMÚN,RURAL
ASESINATO,CANAR,LA TRONCAL,2024-12-31,-2.46961,-79.44994,CONSTRICTORA,27,HOMBRE,MESTIZO/A,DELINCUENCIA COMÚN,RURAL
ASESINATO,GUAYAS,GUAYAQUIL,2024-12-31,-2.09515,-79.96461,ARMA DE FUEGO,18,HOMBRE,MESTIZO/A,DELINCUENCIA COMÚN,URBANO
ASESINATO,GUAYAS,GUAYAQUIL,2024-12-31,-2.09318,-79.96547,ARMA DE FUEGO,30,HOMBRE,MESTIZO/A,DELINCUENCIA COMÚN,URBANO
ASESINATO,GUAYAS,GUAYAQUIL,2024-12-31,-2.23066,-79.91252,ARMA DE FUEGO,24,HOMBRE,MESTIZO/A,DELINCUENCIA COMÚN,URBANO
